"","age_band","coverage","acquisition","transmission"
"1","0-4",0,0,0
"2","5-11",0.782088952510108,0.583348020448795,0.254242125175986
"3","12-15",0.997143279318327,0.630736845626691,0.29520141450591
"4","16-19",0.964927462458641,0.785726788174996,0.468501974533669
"5","20-24",0.860556304374464,0.773881063416946,0.452510195523648
"6","25-29",0.996751637945273,0.777635190746242,0.457516726757208
"7","30-34",0.997589595528832,0.803333898902261,0.493375883728513
"8","35-39",0.998437121069225,0.829452617477711,0.532999555717037
"9","40-44",0.998604199538779,0.840532514470851,0.550918490243109
"10","45-49",0.993090957874966,0.847130527389007,0.56193778990949
"11","50-54",0.999026781530476,0.856874277192424,0.578721996223268
"12","55-59",0.99600855896634,0.863707121080198,0.590879600757979
"13","60-64",0.998183634547271,0.858063939913767,0.580815060813119
"14","65-69",0.99872941923871,0.863811707270404,0.591068293325172
"15","70-74",0.998704052780396,0.867198718902789,0.597222829401988
"16","75-79",0.999363260108246,0.866019640360234,0.595070628852981
"17","80+",0.998557451078776,0.843558083086652,0.555937989293065
