setting,case_age,contact_age,case_age_5y,contact_age_5y,probability
household,0,0,0-4,0-4,0.19537685648779157
household,0,1,0-4,0-4,0.19537685648779157
household,0,2,0-4,0-4,0.19537685648779157
household,0,3,0-4,0-4,0.19537685648779157
household,0,4,0-4,0-4,0.19537685648779157
household,0,5,0-4,5-9,0.19557523049435938
household,0,6,0-4,5-9,0.19815409257974065
household,0,7,0-4,5-9,0.1981644754017275
household,0,8,0-4,5-9,0.19866975023314945
household,0,9,0-4,5-9,0.20127506218607305
household,0,10,0-4,10-14,0.20422422241704752
household,0,11,0-4,10-14,0.2066415431853902
household,0,12,0-4,10-14,0.20677651987121895
household,0,13,0-4,10-14,0.20697489387778673
household,0,14,0-4,10-14,0.20955375596316797
household,0,15,0-4,15-19,0.20955375596316797
household,0,16,0-4,15-19,0.2097292144021102
household,0,17,0-4,15-19,0.21218563254730147
household,0,18,0-4,15-19,0.21218563254730147
household,0,19,0-4,15-19,0.21218563254730147
household,0,20,0-4,20-24,0.21218563254730147
household,0,21,0-4,20-24,0.21218563254730147
household,0,22,0-4,20-24,0.20955375596316797
household,0,23,0-4,20-24,0.20955375596316797
household,0,24,0-4,20-24,0.20676682923736459
household,0,25,0-4,25-29,0.20663116036340337
household,0,26,0-4,25-29,0.20644601129060677
household,0,27,0-4,25-29,0.20306042824518317
household,0,28,0-4,25-29,0.19884520867209168
household,0,29,0-4,25-29,0.19815409257974065
household,0,30,0-4,30-34,0.19796894350694405
household,0,31,0-4,30-34,0.19537685648779157
household,0,32,0-4,30-34,0.19274497990365813
household,0,33,0-4,30-34,0.19259962039584255
household,0,34,0-4,30-34,0.19259962039584255
household,0,35,0-4,35-39,0.19259962039584255
household,0,36,0-4,35-39,0.19259962039584255
household,0,37,0-4,35-39,0.19259962039584255
household,0,38,0-4,35-39,0.19537685648779157
household,0,39,0-4,35-39,0.19815409257974065
household,0,40,0-4,40-44,0.1990929481138274
household,0,41,0-4,40-44,0.2031520905156854
household,0,42,0-4,40-44,0.20730934495900136
household,0,43,0-4,40-44,0.21223408571657332
household,0,44,0-4,40-44,0.21786469859504148
household,0,45,0-4,45-49,0.2236250854957098
household,0,46,0-4,45-49,0.23156288787020574
household,0,47,0-4,45-49,0.23978253502784969
household,0,48,0-4,45-49,0.2455020828287032
household,0,49,0-4,45-49,0.2531868488322976
household,0,50,0-4,50-54,0.2608607738268952
household,0,51,0-4,50-54,0.26651263390927715
household,0,52,0-4,50-54,0.2717359694638676
household,0,53,0-4,50-54,0.27819286123629744
household,0,54,0-4,50-54,0.2818123424274552
household,0,55,0-4,55-59,0.28440442944660765
household,0,56,0-4,55-59,0.2872214551035377
household,0,57,0-4,55-59,0.289467344341354
household,0,58,0-4,55-59,0.289627765001198
household,0,59,0-4,55-59,0.2873818757633817
household,0,60,0-4,60-64,0.2872214551035377
household,0,61,0-4,60-64,0.2847650369583465
household,0,62,0-4,60-64,0.282010716434023
household,0,63,0-4,60-64,0.27917574674677337
household,0,64,0-4,60-64,0.27506106720338286
household,0,65,0-4,65-69,0.2694356284899098
household,0,66,0-4,65-69,0.26488592219480017
household,0,67,0-4,65-69,0.2610841399654859
household,0,68,0-4,65-69,0.25669451725189546
household,0,69,0-4,65-69,0.2512223869571261
household,0,70,0-4,70-74,0.24641348260172044
household,0,71,0-4,70-74,0.24641348260172044
household,0,72,0-4,70-74,0.24641348260172044
household,0,73,0-4,70-74,0.24641348260172044
household,0,74,0-4,70-74,0.24641348260172044
household,0,75,0-4,75-79,0.24641348260172044
household,0,76,0-4,75-79,0.24641348260172044
household,0,77,0-4,75-79,0.24641348260172044
household,0,78,0-4,75-79,0.24641348260172044
household,0,79,0-4,75-79,0.24641348260172044
household,0,80,0-4,80+,0.24641348260172044
household,0,81,0-4,80+,0.24641348260172044
household,0,82,0-4,80+,0.24641348260172044
household,0,83,0-4,80+,0.24641348260172044
household,0,84,0-4,80+,0.24641348260172044
household,0,85,0-4,80+,0.24641348260172044
household,0,86,0-4,80+,0.24641348260172044
household,0,87,0-4,80+,0.24641348260172044
household,0,88,0-4,80+,0.24641348260172044
household,0,89,0-4,80+,0.24641348260172044
household,0,90,0-4,80+,0.24641348260172044
household,0,91,0-4,80+,0.24641348260172044
household,0,92,0-4,80+,0.24641348260172044
household,0,93,0-4,80+,0.24641348260172044
household,0,94,0-4,80+,0.24641348260172044
household,0,95,0-4,80+,0.24641348260172044
household,0,96,0-4,80+,0.24641348260172044
household,0,97,0-4,80+,0.24641348260172044
household,0,98,0-4,80+,0.24641348260172044
household,0,99,0-4,80+,0.24641348260172044
household,0,100,0-4,80+,0.24641348260172044
household,1,0,0-4,0-4,0.19537685648779157
household,1,1,0-4,0-4,0.19537685648779157
household,1,2,0-4,0-4,0.19537685648779157
household,1,3,0-4,0-4,0.19537685648779157
household,1,4,0-4,0-4,0.19537685648779157
household,1,5,0-4,5-9,0.19557523049435938
household,1,6,0-4,5-9,0.19815409257974065
