DATAFLOW,MEASURE: Measure,SEX: Sex,AGE: Age,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2013-Q4,165650,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2014-Q1,166051,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2014-Q2,166359,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2014-Q3,166370,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2014-Q4,166367,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2015-Q1,166309,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2015-Q2,166229,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2015-Q3,165931,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2015-Q4,165622,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2016-Q1,165415,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2016-Q2,165092,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2016-Q3,164937,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2016-Q4,164623,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2017-Q1,164428,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2017-Q2,164261,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2017-Q3,164072,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2017-Q4,163807,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2018-Q1,163704,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2018-Q2,163565,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2018-Q3,163995,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2018-Q4,164442,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2019-Q1,164736,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2019-Q2,165183,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2019-Q3,165955,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2019-Q4,166820,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2020-Q1,167681,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2020-Q2,168299,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2020-Q3,169307,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2020-Q4,170324,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2021-Q1,171389,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2021-Q2,172458,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A50: 50-54,5: Western Australia,Q: Quarterly,2021-Q3,173305,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2013-Q4,16300,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2014-Q1,16351,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2014-Q2,16424,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2014-Q3,16548,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2014-Q4,16593,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2015-Q1,16660,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2015-Q2,16766,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2015-Q3,16893,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2015-Q4,17000,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2016-Q1,17146,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2016-Q2,17249,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2016-Q3,17305,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2016-Q4,17268,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2017-Q1,17305,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2017-Q2,17302,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2017-Q3,17267,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2017-Q4,17204,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2018-Q1,17117,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2018-Q2,17070,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2018-Q3,17035,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2018-Q4,16975,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2019-Q1,16911,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2019-Q2,16831,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A45: 45-49,7: Northern Territory,Q: Quarterly,2019-Q3,16730,PSNS: Persons,,
